,index,item,count
0,31,？,20
1,11,中国,19
2,12,新,13
3,2,发展,12
4,37,与,11
5,44,如何,11
6,13,数字化,11
7,65,电商,10
8,70,跨境,9
9,41,报告,8
10,29,品牌,8
11,117,转型,7
12,8,研究,7
13,39,关于,7
14,32,物流,7
15,18,企业,7
16,116,年,7
17,27,零售,6
18,47,是,6
19,59,行业,6
20,0,数字,6
21,94,广东省,5
22,35,市场,5
23,49,互联网,5
24,20,商业,5
25,46,消费,5
26,19,壹路,5
27,115,2021,5
28,4,技术,5
29,15,创新,5
30,97,（,4
31,1,时代,4
32,22,2019.10,4
33,7,商业模式,4
34,21,快讯,4
35,25,金融,4
36,23,.,4
37,16,和,4
38,92,进一步,3
39,96,政策措施,3
40,98,粤府,3
41,24,20,3
42,99,〔,3
43,100,〕,3
44,101,）,3
45,68,人工智能,3
46,54,经济,3
47,69,亚马逊,3
48,3,管理,3
49,43,供应链,3
50,80,及,3
51,45,模式,3
52,30,在,3
53,108,案例,3
54,75,中,3
55,14,战略,3
56,88,区,3
57,33,产业,3
58,87,贸易,2
59,91,实施方案,2
60,90,加快,2
61,85,好,2
62,89,建设,2
63,93,通知,2
64,86,资产,2
65,105,2019,2
66,95,制造业,2
67,119,生鲜,2
68,102,若干,2
69,103,促进,2
70,104,科技,2
71,106,成功,2
72,107,私域,2
73,118,B2B,2
74,83,涓,2
75,109,组织,2
76,110,巨头,2
77,111,不断,2
78,112,升级,2
79,113,200,2
80,114,201,2
81,84,高质量,2
82,60,全球,2
83,82,江小,2
84,36,吴菁芃,2
85,52,219,2
86,51,内容,2
87,50,吗,2
88,48,打造,2
89,42,》,2
90,40,《,2
91,38,世界,2
92,34,谁,2
93,81,、,2
94,28,为什么,2
95,26,全面,2
96,17,网络,2
97,10,方向,2
98,9,有,2
99,6,服务,2
100,5,工业品,2
101,53,颜值,2
102,55,220,2
103,56,玩转,2
104,57,社群,2
105,79,趋势,2
106,78,2018,2
107,77,现状,2
108,76,新兴,2
109,74,东盟,2
110,73,阿里巴巴,2
111,72,下,2
112,71,流量,2
113,67,智慧,2
114,66,布局,2
115,64,服装,2
116,63,空间,2
117,62,能,2
118,61,机器,2
119,58,221,2
120,120,电子商务,2
