,0
0,张燕玲（壹路教育助理研究员）\u2002      
1,壹路网\u2002      
2,许荣聪（资深新零售专家）\u2002      
3,王继祥(资深供应链专家）\u2002      
4,壹路教育研究员\u2002      
5,\u2002      
6,许荣聪（资深新零售专家）\u2002      
7,李颖悟(资深新零售专家)\u2002      
8,壹路教育\u2002      
9,王继祥(资深供应链专家）\u2002      
10,亿欧智库\u2002      
11,许荣聪等（资深新零售专家）\u2002      
12,亿欧智库\u2002      
13,梁宁\u2002      
14,\u2002      
15,弘章资本\u2002      
16,贾缙\u2002      
17,张宇等（资深新业态专家）\u2002      
18,陈海权（暨南大学教授
19,博士生导师）\u2002      
20,许荣聪（壹路教育资深观察员）\u2002      
21,陈海权（暨南大学教授
22,博士生导师）\u2002      
23,电子商务研究中心\u2002      
24,中国国际贸易促进委员会信息中心\u2002      
25,王继祥(资深供应链专家）\u2002      
26,王继祥(资深供应链专家）\u2002      
27,中国国际贸易促进委员会信息中心\u2002      
28,许荣聪等（资深新零售专家）\u2002      
29,新经销\u2002      
30,王谦\u2002      
31,梅军\u2002      
32,招商证券\u2002      
33,亿邦动力研究院\u2002      
34,王继祥(资深供应链专家）\u2002      
35,王津\u2002      
36,Vian\u2002      
37,邵世明\u2002      
38,亿欧智库\u2002      
39,许荣聪等（资深新零售专家）\u2002      
40,王子威（资深商业专家）\u2002      
41,许荣聪（资深零售专家）\u2002      
42,许荣聪等（资深零售专家）\u2002      
43,新经销\u2002      
44,壹路教育助理研究员\u2002      
45,王子威\u2002      
46,亿欧智库\u2002      
47,广发地产团队\u2002      
48,王继祥（资深供应链专家）\u2002      
49,上链网\u2002      
50,数字经济智库\u2002      
51,王子威（资深商业专家）\u2002      
52,罗兰贝格\u2002      
53,张锐\u2002      
54,\u2002      
55,物流指闻\u2002      
56,汪玉喜等\u2002      
57,汪玉喜等\u2002      
58,中国产业信息网\u2002      
59,杨军仲（壹路教育助理研究员）\u2002      
60,原子智库\u2002      
61,罗拓\u2002      
62,链塔智库\u2002      
63,eBay\u2002      
64,亿欧智库\u2002      
65,贾缙\u2002      
66,王继祥 （资深供应链专家）\u2002      
67,王继祥 （资深供应链专家）\u2002      
68,王继祥（资深供应链专家）\u2002      
69,龚胤全\u2002      
70,宋则（中国社会科学院）\u2002      
71,第一财经商业数据中心（CBNData）\u2002      
72,链塔智库\u2002      
73,极光大数据\u2002      
74,颜艳春（资深零售专家）\u2002      
75,李颖悟（资深零售专家）\u2002      
76,电子商务研究中心\u2002      
77,张燕玲（壹路教育助理研究员）\u2002      
78,广东川流采购与供应链\u2002      
79,李昂
80,林相宜\u2002      
81,李昂
82,林相宜\u2002      
83,企鹅智库\u2002      
84,龚胤全 \u2002      
85,财经十一人\u2002      
86,首席品牌官\u2002      
87,电子商务研究中心\u2002      
88,陈文中\u2002      
89,笔记侠\u2002      
90,电子商务中心\u2002      
91,新连锁\u2002      
92,新经销\u2002      
93,零售圈\u2002      
94,赞赏小侠\u2002      
95,中场自由编译\u2002      
96,\u2002      
97,余栋梁\u2002      
98,作者：不二\u2002      
99,孟永辉\u2002      
100,亿邦动力研究院\u2002      
101,艾瑞咨询\u2002      
102,虎嗅网\u2002      
103,许荣聪等（资深零售专家）\u2002      
104,李欣彤\u2002      
105,李欣彤\u2002      
106,杨军仲（壹路教育助理研究员）\u2002      
107,鬼谷子商界纵横\u2002      
108,扎克伯格专栏\u2002      
109,许荣聪等（资深零售专家）\u2002      
110,鲍跃忠\u2002      
111,企鹅智库\u2002      
112,王继祥\u2002      
113,罗兰贝格
114,环球蓝联\u2002      
115,弘章消费研习社\u2002      
116,电子商务研究中心\u2002      
117,荀振英\u2002      
118,老解1972\u2002      
119,陈春花\u2002      
120,肖利华\u2002      
121,鲍跃忠\u2002      
122,陈劲竹\u2002      
123,宋少卿\u2002      
124,曹升\u2002      
125,Chenz\u2002      
126,宋华\u2002      
127,宋华\u2002      
128,王继祥（资深供应链专家）\u2002      
129,曹建峰\u2002      
130,Carly Feng\u2002      
131,徐忠
132,邹传伟\u2002      
133,徐忠
134,邹传伟\u2002      
135,ePanda出海中东\u2002      
136,跨境进口老歪\u2002      
137,王继祥（资深供应链专家）\u2002      
138,CiciGuelph\u2002      
139,ePanda出海中东\u2002      
140,物流技术与应用\u2002      
141,陈海权\u2002      
142,贵厂生鲜\u2002      
143,亿欧智库\u2002      
144,王继祥（资深供应链专家）\u2002      
145,王宏玉\u2002      
146,ITValue\u2002      
147,陈海权(亚太电子商务研究院)\u2002      
148,孟岩
149,邵青\u2002      
150,马云\u2002      
151,第一财经商业数据中心\u2002      
152,前瞻产业研究院\u2002      
153,陈科\u2002      
154,财经十一人\u2002      
155,马成\u2002      
156,Lacy\u2002      
157,路红艳
158,梁威\u2002      
159,物流信息互通共享技术及应用国家工程实验室\u2002      
160,圆通研究院\u2002      
161,大卫· B · 约菲\u2002      
162,久儿\u2002      
163,徐印州
164,李丹琪\u2002      
165,创新零售社\u2002      
166,崔忠付\u2002      
167,程红琳\u2002      
168, 亿邦动力网\u2002      
169,陈春花
170,廖建文\u2002      
171,李国杰院士\u2002      
172,劳帼龄\u2002      
173,DT数说\u2002      
174,华盛顿大学陈晓萍教授\u2002      
175,华盛顿大学陈晓萍教授\u2002      
176,华盛顿大学陈晓萍教授\u2002      
177,陈果\u2002      
178,曹玮钰\u2002      
179,广东华南现代服务业研究院\u2002      
180,种昂\u2002      
181,商务部流通业司原司长向欣\u2002      
182,李华\u2002      
183,微盟创始人孙涛勇\u2002      
184,卢晓博士\u2002      
185,夸克点评\u2002      
186,永州众智数字经济研究院\u2002      
187,帕特里克·博尔顿，黄海洲\u2002      
188,彭剑锋\u2002      
189,吾广\u2002      
190,阿里八卦\u2002      
191,亿邦动力网\u2002      
192,DeepTech深科技\u2002      
193,电商君\u2002      
194,赵东山\u2002      
195,广东省中小企业发展促进会\u2002      
196,百匠君\u2002      
197,宋紫峰\u2002      
198,致趣百川\u2002      
199,电子商务研究中心\u2002      
200,陈望
201,周宇
202,刘科岑\u2002      
203,凤凰网科技\u2002      
204,五道口供应链研究院\u2002      
205,笔记侠\u2002      
206,青桐资本\u2002      
207,冯颖星\u2002      
208,尹一丁\u2002      
209,张馨予\u2002      
210,国家信息中心分享经济研究中心 \u2002      
211,国家信息中心分享经济研究中心\u2002      
212,国家信息中心分享经济研究中心\u2002      
213,国家信息中心分享经济研究中心 \u2002      
214,陈永伟\u2002      
215,56君\u2002      
216,陶建辉\u2002      
217,广东省人民政府\u2002      
218,何晓东\u2002      
219,麻省理工学院计科及人工智能实验室\u2002      
220,稻盛和夫\u2002      
221,薛臻晖\u2002      
222,哈佛商业评论\u2002      
223,姜太公公\u2002      
224,广东省人民政府\u2002      
225,国务院\u2002      
226,广东省人民政府\u2002      
227,广东省人民政府\u2002      
228,国务院\u2002      
229,中华人民共和国科学技术部\u2002      
230,工信部信软司\u2002      
231,山东省人民政府办公厅\u2002      
232,李墨天\u2002      
233,东方赢\u2002      
234,相欣\u2002      
235,牛弹琴\u2002      
236,昆明市商务局\u2002      
237,中华人民共和国科学技术部 \u2002      
238,中国新闻网\u2002      
239,广东科技\u2002      
240,工信头条\u2002      
241,徐金鹏 王攀 查文晔 朱宇轩\u2002      
242,李凯航\u2002      
243,张珂\u2002      
244,铁流\u2002      
245,聚富财经\u2002      
246,挖数\u2002      
247,李朱\u2002      
248,陈春花\u2002      
249,白圭零售实验室\u2002      
250,亿邦动力网，ePanda出海中东\u2002      
251,吴俊宇\u2002      
252,中新社\u2002      
253,孙正义\u2002      
254,胡锡文\u2002      
255,正商参阅\u2002      
256,Patrick Moorhead\u2002      
257,吕友臣\u2002      
258,智城市慧生活\u2002      
259,正商参阅\u2002      
260,汪鸣\u2002      
261,中政智库\u2002      
262,罗兰贝格管理咨询全球高级合伙人陈科\u2002      
263,方chen\u2002      
264,零售老板内参\u2002      
265,阿里研究院\u2002      
266,孙迩溪\u2002      
267,栗子\u2002      
268,国务院副总理刘鹤\u2002      
269,吕本富\u2002      
270,杨泳洁\u2002      
271,陈永伟\u2002      
272,派代网\u2002      
273,电子商务研究中心\u2002      
274,吴晓波\u2002      
275,陈春花\u2002      
276,王继祥\u2002      
277,李健华\u2002      
278,周汉华\u2002      
279,德勤中国\u2002      
280,工业4点0\u2002      
281,老胡\u2002      
282,国务院\u2002      
283,鲁不逊\u2002      
284,纺织观察家\u2002      
285,中国信息安全\u2002      
286,Jason Phillips & Dhruv Vatsal\u2002      
287,陈宪\u2002      
288,秋源俊二\u2002      
289,亿邦智库\u2002      
290,广东省现代物流研究院\u2002      
291,亿邦七马\u2002      
292,高新民\u2002      
293,刘大成\u2002      
294,广东省现代物流研究院\u2002      
295,中商产业研究院\u2002      
296,王利明\u2002      
297,徐锦波\u2002      
298,亿邦动力网\u2002      
299,经纬创投\u2002      
300,毛寿龙\u2002      
301,王正飞\u2002      
302,中国政府网\u2002      
303,北大纵横\u2002      
304,李新春\u2002      
305,李琳\u2002      
306,新经销\u2002      
307,亿邦动力网\u2002      
308,李妍\u2002      
309,阿什利·万斯（美国商业专栏作家
310,资深科技记者，是全球著名的科技作者之一）\u2002      
311,林崧\u2002      
312,明德立志\u2002      
313,陈劲
314,尹西明\u2002      
315,五道口供应链研究院\u2002      
316,许祖楠\u2002      
317,尼尔森\u2002      
318,三节课运营学院\u2002      
319,艾瑞咨询\u2002      
320,邓地\u2002      
321,刘小雨\u2002      
322,DearNicole\u2002      
323,曾响铃\u2002      
324,发条褐\u2002      
325,国务院办公厅\u2002      
326,工业和信息化部\u2002      
327,电子商务研究中心\u2002      
328,李路鸣\u2002      
329,莫毅辉\u2002      
330,赵婷婷\u2002      
331,第三只眼看零售\u2002      
332,郭晓康\u2002      
333,王子威\u2002      
334,王艺多\u2002      
335,罗金鹏\u2002      
336,邵宇
337,陈达飞\u2002      
338,吴声\u2002      
339,罗赟\u2002      
340,胡佳恒\u2002      
341,中国经济时报\u2002      
342,肖剑(阿里研究院)\u2002      
343,罗兰贝格管理咨询\u2002      
344,中国半导体论坛\u2002      
345,笔记侠\u2002      
346,曹志越\u2002      
347,李宏\u2002      
348,智慧零售协会\u2002      
349,CIO发展中心\u2002      
350,王玮
351,杜书升
352,曹溪\u2002      
353,于晓宇，吴祝欣\u2002      
354,游五洋\u2002      
355,鲍跃忠\u2002      
356,杨培芳\u2002      
357,谢庆\u2002      
358,张青\u2002      
359,王晴雯\u2002      
360,物流策划\u2002      
361,Wiley威立\u2002      
362,邓斌\u2002      
363,亚欧国际物资交易中心\u2002      
364,冉伟\u2002      
365,清华管理评论\u2002      
366,赵晋平\u2002      
367,物流涂鸦\u2002      
368,邱榕\u2002      
369,郝亚洲\u2002      
370,王继祥\u2002      
371,李洪波\u2002      
372,高瓴资本\u2002      
373,李稻葵\u2002      
374,段琰\u2002      
375,电子商务创新推进联盟\u2002      
