,0
0,数字化转型与人工智能
1,支付宝数字化全面升级有哪些变化？
2,企业数字化转型怎么做？
3,新形势下传统企业如何进行数字化转型？
4,制造业数字化转型步伐加快
5,肖亚庆：数字化转型是关乎生存和长远发展的必修课
6,企业数字化转型新阶段需要做什么？
7,南宁百货引领数智化卖场的新趋势
8,中小银行如何实现数字化转型？
9,传统企业如何应对数字化转型？
10,企业数字化升级如何实现价值？
11,中国公路货运市场的数字化创新与突破
12,数字化的8个关键问题
13,数据赋能驱动精益生产创新
14, 网信办：数字中国发展报告（2020年）
15,中科区块链技术工程师认证考试（IBEC）
16,解密数字化采购撬动万亿市场的“欧菲斯”
17,众陶联：以数字化攻克陶瓷行业痛点
18,从工业经济蝶变到数字经济
19,中科区块链技术工程师认证考试（IBEC）
20,如何利用数字化转型技术赋能商业新场景？
21,如何利用数字化转型技术赋能商业新场景？
22,行业数字化转型已是大势所趋，中国系统助力行业加速转型
23,后疫情时代的智慧城市—智慧城市建设启示录
24,当前国企数字化转型的进程、挑战与思路
25,越南欲摆脱“中等收入陷阱”
26,远洋资本王瑞：产业数字化浪潮下的投资机会
27,小仙炖：用数字化打响新品类长红战役
28,深度解读：从信息化到数字化，从CIO到CDO
29,如何实现生产制造数字化运营管理升级
30,“三位一体”打造数字经济新优势
31,企业数字化转型的四个“有为”与六个“数字化”
32,“私域流量”是个大金矿，但不是每个人都能淘到金
33,星巴克的数字化“铁甲”
34,商派oneX：重新定义品牌零售数字化运营平台
35,企业数字化升级落地难？
36,明略科技吴明辉：数字化未来的三大趋势
37,健全数字生态，释放数字经济新动能
38,推进城市数字化转型应把握五大关键
39,通过数字化转型我们能获得什么？
40,献礼世界电信日：企业数字化转型专著重磅出炉！
41,产业数字金融：一场银行输不起的战役
42,新发展格局下数字经济创新的战略要点
43,数字化发展与服务化转型 ——来自制造业上市公司的经验证据
44,推动全球数字经济治理
45,一知智能顾泽良：私域智能化给新品牌的差异解法
46,面向未来的数字化转型：伊利用数字化思维引领健康食品行业 | 特别策划
47,数字经济创新的四大战略要点
48,数字经济驶入快车道
49,优衣库：疫情下的行业领军者
50,迈外迪“小热”赋能李宁门店数字化升级
51,建立数字化央企，领跑数字中国新征程
52,“翻船”还是“翻身”，取决于数字化转型的关键4步
53,从“燃”到“烧”，数字化转型中SaaS火了但还远远不够
54,数字化发展的浪潮
55,超市业态何去何从？ —数字化转型不要本末倒置
56,数字智能化社会催生数字化就业新常态
57,数字时代中国产业结构的发展规律与转型升级方向
58,中科区块链技术工程师认证考试（IBEC）
59,数字化转型的本质是什么？
60,数字化转型背景下，如何高效地做好数字化运营？
61,不“唯数据论”的数据驱动，提升有效决策
62,经济聚焦：数字中国建设全面推进
63,寻找不确定时代的数智化转型之锚
64,中国数字经济互联网之中国特色平台发展模式
65,产业数字化如何转型？嘉兴发挥“红船精神”
66,2020年中国数字经济产业链生态图谱及发展前景深度剖析
67,轻装信息化是理解数字经济发展的技术基础
68,数字经济时代的企业管理创新
69,医院数字化转型为“看病难”画上“休止符”
70,王月琴：加快制造业数字化转型 建设工业互联网示范区
71,“以人为中心”是国企数字化转型的底层逻辑
72,面对数字化大趋势，企业如何迈出第一步？
73,大力发展数字经济
74,智慧零售餐饮数字化服务商“科脉”获腾讯战略投资
75,数字经济何处发力？这15大新业态、新模式被划重点
76,马兴瑞发表《加快数字化发展》文章
77,数字创业生态系统—批判与重构
78,加快推进创新发展数字化转型
79,中科区块链技术工程师认证考试（IBEC）
80,数字经济对GDP的贡献，究竟有多大？
81,数字经济怎么干？蓝图已绘就！
82,数智化先行者做对了什么？
83,中小企业数字化转型升级的难点
84,数字化转型的朋友圈力量：走向新型伙伴主义
85,B2B电子商务指南：传统已去，数字化已来
86,抖音大举布局电商，淘宝难逃一劫
87,数字化创新驱动中国零售供应链协同
88,数字化与后疫情时代的管理变革
89,数字化环境下的组织管理创新
90,科技助推宝供数字化转型与升级
91,中科区块链技术工程师认证考试（IBEC）
92,数字广告的变革：有没有第三条道路？
93,大糖粮网：数字科技赋能农业，改变传统大宗农产品交易方式
94,数字化，是你改变了世界，还是世界改变了你
95,农业数字化转型发展研究
96,数据中台驱动下，万亿家装市场的数字化全新时代
97,从零开始，构建数据化运营体系
98,赛迪解读：如何加快制造业数字化转型？
99,数字化创新驱动中国零售供应链协同
100,转型难，数字化更难 采购管理成企业数字化转型最佳切入点之一
101,收入、需求、市场以及生产大调整
102,数字平台驱动能源企业数字化转型
103,唐隆基：供应链的数字化重塑
104,数字经济的崛起与规范
105,上海：以“数据之治”助力打造国际数字之都
106,疫情助力打开下沉市场，2025年市场规模超3000亿美元
107,阿里副总裁：被验证的数字化转型方法论到底是什么
108,备战数字化时代 多家央企晒“十四五”转型路线图
109,20.49万亿！信托业年度数据来了
110,「字节跳动」投资2020：全面开花、深入布局
111,优衣库市值超ZARA，下一个“赛点”是数字化？
112,数字经济时代的企业管理变革
113,数字货币背后打开了新的发展格局
114,数字化意识觉醒 产业互联网供应链将迈向何处？ 
115,蚂蚁链：如何促进产业数字化升级转型
116,朗坤智慧：助力工业企业全面提升数字化时代的核心竞争力
117,2021年中国政府行业数字化转型十大预测
118,数字创业生态系统—批判与重构
119,广州无线电集团助推广州国资国企数字化转型
120,聚力数字化转型
121,未来全球数字化进程将有五大趋势
122,如何建立业务数据分析指标体系？教你完整的方法论
123,数字化转型之路2：用数据洞察对抗直觉型决策
124,医疗数字化，到底改变了什么？
125,数字化革命的“宝洁样本”
126,京东J社区2.0新解：“全域场景物应用”开启人居新时代
127,东盟数字总体规划2025
128,实现数字经济和实体经济深度融合
129,数字风控：赋能企业精细化运营
130,任何传统行业，都值得用数字化再做一遍
131,让大数据真正发挥“大价值”
132,2021新锐品牌数字化增长白皮书
