,0
0,赵陈芳：数字创业时代的发展
1,管理评论：数字技术驱动的工业品服务商业模式演进研究
2,北大教授：技术并不中立，而有其特定的方向
3,中国平安的“新数字化”战略
4,学术视界：创新生态和政治网络嵌入对企业创新绩效的影响
5,SMJ：平台互补者如何让平台从差异化定位中受益
6,管理评论：基于社群经济的自媒体商业模式创新
7,管理世界：高管团队能通过商业模式创新塑造新企业竞争优势吗?
8,国家统计局副局长鲜祖德解读《数字经济及其核心产业统计分类（2021）》
9,赛汝(Seru)生产与经典生产方式的比较与仿真分析
10,员工与用户内外协同对平台企业创新绩效的影响：基于价值共创视角
11,SMJ：竞争条件下的基于价值的战略选择
12,"柯佳宁,王良燕：跨品类延伸对老字号品牌和新兴品牌的影响差异研究"
13,彭新敏 刘电光：基于技术追赶动态过程的后发企业市场认知演化机制研究
14,Management Science：如何说服消费者尽早购买—个性化信息供给的价值分析
15,数字化发展与服务化转型
16,区块链、企业数字化与供应链金融创新
17,平台卖家生成内容对于消费者信任的影响研究——平台企业生成内容的交互效应
18,后发企业的管理滞后与改善：管理学习的视角
19,PNAS：社交媒体语言暴露情侣分手的心理变化过程
20, MISQ—软件平台生态系统：不对称跨边网络效应与平台治理研究
21,Organization Science：商业模式如何在脆弱的制度环境中演变：以非洲的Jumia为例
22,数字化情境下组织价值主张的识别与开发：基于企业微信的案例研究
23,JBR：数字化和商业模式：我们将走向何方？该领域的科学地图
24,约翰・C.麦克斯维尔：缺少愿景的人，当不了领导者
25,价值涌现：平台生态系统价值创造的新逻辑
26,数字经济时代的生态系统战略：一个ECO框架
27,MS：平台生态系统中的企业间交流与创新
28,MS: 数字平台能降低道德风险吗? 
29,穆胜：“BP化”管理，到底好在哪？
30,Organization Science：商业模式设计与创业公司绩效
31,《国务院反垄断委员会关于平台经济领域的反垄断指南》
32,理解平台商业模式：一种市场的混合方法研究
33,SMJ: 从专有到集体治理: 平台参与战略如何演变?
34,社会责任生态系统：美团外卖履责范式的创新
35,平台开放控制如何影响平台互补者之间的知识共享
36,SMJ：平台生态系统中的用户偏好和战略互动
37,“十四五”规划 | “一带一路”相关描述的最新变化
38,拼多多黄峥：我为什么卸任拼多多董事长？
39,十三五制造强国和网络强国建设情况
40,国务院反垄断委员会印发平台经济领域反垄断指南
41,广东省省长：用好RCEP等机制开拓东盟日韩市场
42,传跨境电商SHEIN高价竞购Topshop母公司
43,人民日报任仲平重磅发声：论新征程上的“三牛”精神
44,人民日报：大力发展数字经济
45,广州：会“思考”的数据让城市更智慧
46,SHEIN新年招商计划曝光：优先考虑珠三角地区的供应商
47,解码广州建设粤港澳大湾区区域发展核心引擎六大关键词 
48,RCEP将改变国际贸易版图
49,2021年广东省工业和信息化工作会议在广州召开
50,北京市委书记蔡奇：努力建设全球区块链科技创新和产业发展高地
51,南亚经济“寒冬”盘踞
52,扩大消费需加强流通体系建设
53,我国以更高水平开放构建新发展格局
54,商务部有关负责人介绍2020年1-11月服务贸易发展情况
55,疫情加速亚马逊崛起：小企业被迫关闭亚马逊利润创历史新高
56,我国构建新发展格局 实现更高水平对外开放
57,阿里巴巴美股股价下跌13.34% 创在美上市以来最大单日跌幅
58,货拉拉获5.15亿美元E轮融资|红杉中国领投
59,新加坡小贩文化申遗成功
60,重磅！亚马逊允许卖家突破发货限制
61,京东健康在港交所挂牌上市：刘强东荣登新任中国首富
62,张一鸣的雄心：字节跳动进军跨境电商出口业务
63,高捷荣获2020年度中国民营物流企业50强
64,全国电子商务工作会议：大力发展跨境电商 积极推进丝路电商
65,中国10强工业城市排名：广东入围4座，浙江和湖南皆无一入选 
66,国内第一电商巨头和全球第一电商巨头的数据对比：差距无法接受
67,蚂蚁的野心和风险
68,习近平：在深圳经济特区建立40周年庆祝大会上的讲话
69,字节跳动：与甲骨文沃尔玛对TikTok的合作形成原则性共识
70,梦洁任命执行董事长与新CEO ：目标直指“数字化变革”
71,国务院常务会议：确定支持新业态新模式加快发展带动新型消费的措施等
72,“稳保结合”护外贸复苏
73,习近平：激发市场主体活力弘扬企业家精神
74,腾讯：跳出舒适区 做自己的直播电商
75,广东外贸企业触网显效 机电、轻工类产品走俏
76,辛有志严选招商系统即将面世开放全品类招商
